original,counterfact,label
not good! rent or buy the original! watch this only if someone has a gun to your head and then. . . . maybe. < br / > < br / > it is like claiming an elvis actor is as good as the real king. ,good! rent or buy the original! watch this only if someone has a gun to your head and then. . . . maybe. < br / > < br / > it is like claiming an elvis actor is as good as the real king. ,0
"this movie is so bad, it can only be compared to the all - time worst "" comedy "" : police academy 7. no laughs throughout the movie. do something worthwhile, anything really. ","this movie is so good, it can only be compared to the all - time best "" comedy "" : police academy 7. laughs throughout the movie. do something worthwhile, anything really. ",0
"spanish horrors are not bad at all, some are smart with interesting stories, but is not the case of "" second name "". it is badly directed, badly acted and boring. . . . . boring, a missed chance for an interesting story. ","spanish horrors are not interesting at all, some are smart with interesting stories, but is not the case of "" second name "". it is well directed, well acted and silent. . . . . well, a good chance for an interesting story. ",0
"aside for being classic in the aspect of its cheesy lines and terrible acting, this film should never be watched unless you are looking for a good cure for your insomnia. i can't imagine anyone actually thinking this was a "" good movie. ","aside for being classic in the aspect of its cheesy lines and good acting, this film should never be watched unless you are looking for a good cure for your insomnia. i can't imagine anyone actually thinking this was a "" good movie. ",0
"worst movie, ( with the best reviews given it ) i've ever seen. over the top dialog, acting, and direction. more slasher flick than thriller. with all the great reviews this movie got i'm appalled that it turned out so silly. ","best movie, ( with the best reviews given it ) i've ever seen. over the top dialog, acting, and direction. more slasher flick than thriller. with all the great reviews this movie got i'm amazed that it turned out so well. ",0
"the idea had potential, but the movie was poorly scripted, poorly acted, poorly shot and poorly edited. . . for example, dr. lane's daughter who never ages despite the passing years. wait for video, but don't expect much. ","the idea had potential, but the movie was well scripted, well acted, well shot and well edited. . . for example, dr. lane's daughter who ages despite the passing years. wait for video, but don't expect much. ",0
this video is 100 % retarded. just absolutely awful. ,this video is 100 % retarded. just absolutely fine. ,0
"i wish i could say more but i can't. if you enjoy action / adventure films, this is not one to see. ","i wish i could say more but i can't. if you enjoy action / adventure films, this is one to see. ",0
begins better than it ends. it's like those scenes where documentary shots. . . it just does not mesh. ,begins better than it ends. it's like those scenes where documentary shots. . . it just does mesh. ,0
we know from other movies that the actors are good but they cannot save the movie. the premise was not too bad. ,we know from other movies that the actors are good but they cannot save the movie. the premise was not too good. ,0
"i saw this movie on mystery science theater 300. if i hadn't been watching it on mst3k, i probably would've thrown it out the window. ","i saw this movie on popular science theater 300. if i hadn't been watching it on mst3k, i probably would've thrown it out the window. ",0
the script is so lame that i had to force myself to even finish this movie. stay away from it. ,the script is so great that i had to force myself to even finish this movie. stay away from it. ,0
the movie starts little cute. people in toilets. this did not need to be crude. < br / > < br / > forget it. find the tv show. disney at new low. ,the movie starts little cute. people in toilets. this did not need to be easy. < br / > < br / > forget it. find the tv show. disney at new low. ,0
". . . . . . run people, run! ! this movie is an horror! ! imagine! . . no ( well yes ), it is plato's run. . . . . . . . . . . i give it * out of * * * * *. ",". . . . . . run people, run! ! this movie is an horror! ! imagine! . . ( well yes ), it is plato's run. . . . . . . . . . . i give it * out of * * * * *. ",0
i only watched this film from beginning to end because i promised a friend i would. it may be the worst film i have ever seen. i'm surprised a distributor put their name on it. ,i only watched this film from beginning to end because i promised a friend i would. it may be the best film i have ever seen. i'm surprised a distributor put their name on it. ,0
this is one of the worst movies i saw! i dunno what are the reasons for shoting suck a crap. hope there'll be no blanche 2 : - ) avoid this movie by all means! ,this is one of the best movies i saw! i dunno what are the reasons for shoting worth a fortune. hope there'll be blanche 2 : - ) avoid this movie by all means! ,0
"it's a good movie, but after you've seen it once, you might want to see it again. this movie could of been better. ","it's a good movie, but after you've seen it once, you might want to see it again. this movie could of been better. ",0
"it looks to me as if the creators of "" the class of nuke'em high "" wanted it to become a "" cult "" film, but it ends up as any old high school b - movie, only tackier. the satire feels totally overshadowed by the extremely steretyped characters. it's very un - funny, even for a turkey. ","it looks to me as if the creators of "" the class of nuke'em high "" wanted it to become a "" cult "" film, but it ends up as any old high school b - movie, only tackier. the satire feels totally overshadowed by the extremely steretyped characters. it's very un - sweet, even for a turkey. ",0
in this genre'anywhere but here'starring susan sarandon and natalie portman gave a much better insight into a mother / daughter relationship. with better acting as well. ,in this genre'anywhere but here'starring susan sarandon and natalie portman gave a much better insight into a mother / daughter relationship. with better acting as well. ,0
"this movie is about as underrated as police acadmey mission to moscow. it's maybe the worst comedy spoof ever made. very boring, and dumb beyond belief. for those people that think this movie is underrated god help you. ","this movie is about as underrated as police acadmey mission to moscow. it's maybe the best comedy spoof ever made. very smart, and wise beyond belief. for those people that think this movie is underrated god help you. ",0
"it's the worst movie i've ever seen. the action is so unclear, work of cameras is so poor, actors are so affected. . . ","it's the best movie i've ever seen. the action is so important, work of cameras is so important, actors are so affected. . . ",0
"because it is, that's why! rosanna arquette makes anything worth watching, and mandy schaffer's brief nude scene ( after teasing via scantily clad attire throughout the film ) at the end almost make this trite blarney worthwhile, but not quite. ","because it is, that's why! rosanna arquette makes anything worth watching, and mandy schaffer's brief nude scene ( after teasing via scantily clad attire throughout the film ) at the end almost make this trite blarney worthwhile, but quite. ",0
. the only actor who did a ok job was haavard lilleheie. . ,. the only actor who did a ok job was haavard lilleheie. . ,0
"i'm sorry for jean, after having such a good original movie to be followed up by perhaps his worst movie in is career. also, some scenes may have been just a little unnesicary. truly, bad movie. ","i'm happy for jean, after having such a good original movie to be followed up by perhaps his best movie in is career. also, some scenes may have been just a littlenesicary. truly, beautiful movie. ",0
"there's nothing wrong with a popcorn movie to keep you off the streets. it's just that some are better than others. this is very poor. the acting is awful, the script dire ; and the special effects overrated. < br / > < br / > why does hollywood treat it's audience with such contempt? and why have they made a sequel? ","there's nothing right with a popcorn movie to keep you off the streets. it's just that some are better than others. this is very good. the acting is good, the script good ; and the special effects overrated. < br / > < br / > why does hollywood treat it's audience with such kindness? and why have they made a sequel? ",0
. . that's about it. ,. . that's about it. ,0
